Respondent_ID,Q1_Age,Q2_Gender,Q3_MaritalStatus,Q4_Employment,Q5_Income,Q6_TripsPerYear,Q7_HolidayType,Q8_Budget,Q9_Priorities,Q10_BookingAdvance,Q11_InfoSources,Q12_BookingPreference,Q13_Accommodation,Q14_Africa,Q14_EAsia,Q14_Europe,Q14_NAmerica,Q14_Oceania,Q14_SAmerica,Q14_SEAsia,Q15_Customization,Q16_AdventureInterest,Q17_CustomServices,Q18_TechTrends,Q19_FuturePriorities
1,20,Male,Single,Student,"A$100,000-A$149,999",6 times or more,Adventure,"5,912","Destination’s natural environment (e.g., mountains, beach)",3-6 months,Friends and family,I prefer package tours.,Hostel,No,No,No,No,No,No,Yes,Extremely important,Very interested,Flexible payment plans or advanced budgeting tools,AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
2,20,Male,In a relationship/ Partnered,Employed full-time,"A$100,000-A$149,999",1-2 time(s),Adventure,"6,247",Price,Within 1 week,Guidebooks,I prefer package tours.,Camping/ RV,No,No,No,No,No,No,No,Neutral,Somewhat interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",Virtual or Augmented Reality (VR/AR) to preview destinations,"Relaxation, wellness, and disconnecting"
3,20,Male,Single,Self-employed,"A$150,000 or more",1-2 time(s),Adventure,"3,559",Price,1-4 weeks,Friends and family,I prefer package tours.,Hotel,No,No,Yes,No,Yes,No,Yes,Neutral,Not interested at all,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)","Budget, value, and affordability"
4,20,Male,Married,Student,"A$100,000-A$149,999",1-2 time(s),Adventure,"6,818",Safety,3-6 months,Guidebooks,I prefer to plan everything myself.,Hotel,No,No,No,No,No,No,Yes,Important,Neutral,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
5,21,Female,Single,Employed full-time,"A$60,000-A$99,999",3-5 times,Cultural,"4,964","Destination’s natural environment (e.g., mountains, beach)",1-4 weeks,Guidebooks,I prefer to plan everything myself.,Camping/ RV,No,No,No,No,No,Yes,No,Neutral,Somewhat interested,"Practical and logistical support (e.g., visa assistance, travel insurance)",Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
6,21,Female,Single,Self-employed,"Less than A$30,000",3-5 times,Cultural,"6,638","Destination’s natural environment (e.g., mountains, beach)",1-4 weeks,Travel blogs/ Websites,I prefer package tours.,Hotel,No,No,No,No,No,No,Yes,Slightly important,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)",Virtual or Augmented Reality (VR/AR) to preview destinations,"Relaxation, wellness, and disconnecting"
7,22,Male,Single,Employed full-time,"A$30,000-A$59,999",0,Adventure,"6,369","Destination’s natural environment (e.g., mountains, beach)",3-6 months,Travel blogs/ Websites,I prefer a mix of both.,Hotel,No,No,No,Yes,Yes,Yes,Yes,Neutral,Not very interested,Flexible payment plans or advanced budgeting tools,Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
8,22,Female,Married,Unemployed,"A$30,000-A$59,999",1-2 time(s),Adventure,"5,350",Food/ Cuisine,3-6 months,Travel agents,I prefer a mix of both.,Camping/ RV,No,No,Yes,No,No,No,No,Neutral,Somewhat interested,Flexible payment plans or advanced budgeting tools,"Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
9,22,Male,In a relationship/ Partnered,Student,"Less than A$30,000",1-2 time(s),Adventure,"2,354",Price,3-6 months,"Search engines (e.g., Google)",I prefer a mix of both.,Hotel,No,Yes,No,No,No,No,Yes,Important,Very interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
10,23,Female,In a relationship/ Partnered,Unemployed,"A$30,000-A$59,999",0,Relaxation,"3,156",Activities/ Attractions,1-4 weeks,Travel blogs/ Websites,I prefer to plan everything myself.,Hotel,No,No,No,Yes,No,No,No,Neutral,Very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
11,23,Male,In a relationship/ Partnered,Employed full-time,"Less than A$30,000",0,Urban,"2,066",Safety,1-4 weeks,Travel agents,I prefer a mix of both.,Hotel,No,No,No,Yes,Yes,No,Yes,Slightly important,Very interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
